sign,nn1,s1,nn2,s2,nn3,s3
616,298,0.408,699,0.391,633,0.391
618,608,0.462,408,0.420,277,0.410
619,578,0.415,594,0.395,407,0.393
621,625,0.407,407,0.368,607,0.366
622,624,0.457,626,0.447,323,0.416
624,622,0.457,626,0.456,613,0.413
625,621,0.407,245,0.404,583,0.396
626,624,0.456,622,0.447,246,0.423
630,631,0.416,517,0.415,082,0.393
631,630,0.416,431,0.407,693,0.399
632,150,0.340,171,0.338,028,0.330
633,698,0.431,562,0.418,496,0.409
634,519,0.389,630,0.378,775,0.359
635,636,0.359,466,0.348,468,0.346
636,468,0.405,466,0.397,729,0.389
637,578,0.366,207,0.366,619,0.361
638,381,0.391,380,0.365,631,0.365
639,518,0.371,631,0.354,517,0.354
642,646,0.444,356,0.414,554,0.401
646,642,0.444,356,0.429,316,0.427
647,340,0.416,240,0.394,298,0.391
650,151,0.355,657,0.353,446,0.352
651,642,0.378,646,0.377,734,0.365
652,607,0.412,697,0.400,597,0.394
653,496,0.408,307,0.385,577,0.371
654,509,0.376,557,0.372,561,0.372
655,585,0.390,182,0.371,166,0.369
656,235,0.391,335,0.385,579,0.383
657,421,0.383,330,0.377,522,0.376
658,676,0.372,510,0.365,666,0.363
660,609,0.404,664,0.398,652,0.389
661,497,0.405,680,0.399,618,0.386
662,556,0.411,671,0.400,680,0.391
663,664,0.425,673,0.394,670,0.391
664,663,0.425,671,0.423,660,0.398
665,670,0.377,119,0.365,660,0.363
666,558,0.410,676,0.388,491,0.388
667,660,0.372,491,0.368,482,0.354
669,752,0.362,550,0.361,560,0.356
670,673,0.422,663,0.391,665,0.377
671,664,0.423,662,0.400,661,0.376
672,521,0.389,660,0.367,527,0.357
673,670,0.422,663,0.394,559,0.379
674,662,0.388,409,0.375,684,0.370
675,670,0.377,673,0.365,663,0.364
676,025,0.397,666,0.388,059,0.384
678,468,0.368,075,0.365,084,0.359
680,661,0.399,509,0.392,681,0.391
681,680,0.391,682,0.390,112,0.384
682,684,0.406,681,0.390,680,0.386
683,430,0.374,681,0.374,651,0.364
684,682,0.406,477,0.385,112,0.376
690,550,0.426,600,0.422,593,0.422
691,277,0.389,618,0.378,608,0.375
692,517,0.400,092,0.392,778,0.390
693,631,0.399,588,0.397,195,0.369
694,245,0.382,247,0.376,285,0.372
695,445,0.416,442,0.408,441,0.381
696,596,0.446,286,0.435,266,0.434
697,607,0.456,597,0.415,407,0.411
698,633,0.431,699,0.413,562,0.400
699,698,0.413,607,0.396,298,0.396
700,710,0.438,023,0.436,024,0.428
701,520,0.385,511,0.385,513,0.383
710,065,0.443,700,0.438,066,0.431
712,149,0.393,070,0.388,101,0.385
719,194,0.369,151,0.357,145,0.347
720,169,0.361,193,0.337,387,0.332
721,531,0.438,506,0.420,376,0.410
722,106,0.377,161,0.372,049,0.365
723,185,0.380,585,0.372,375,0.372
724,040,0.429,073,0.429,062,0.420
725,494,0.382,477,0.367,493,0.361
726,183,0.429,366,0.406,303,0.388
727,660,0.362,619,0.359,636,0.349
728,662,0.386,556,0.375,671,0.367
729,466,0.396,636,0.389,468,0.378
730,517,0.370,773,0.369,590,0.360
731,741,0.395,732,0.394,735,0.388
732,735,0.420,741,0.413,371,0.402
733,736,0.393,183,0.370,726,0.354
734,595,0.414,533,0.409,582,0.409
735,732,0.420,371,0.403,375,0.396
736,733,0.393,183,0.382,732,0.371
737,383,0.383,387,0.379,207,0.360
738,375,0.361,371,0.354,187,0.349
739,587,0.395,159,0.392,420,0.387
741,745,0.448,385,0.429,732,0.413
742,743,0.421,741,0.405,745,0.400
743,742,0.421,586,0.393,386,0.388
745,741,0.448,385,0.413,742,0.400
747,056,0.355,002,0.350,446,0.348
748,316,0.434,646,0.426,356,0.421
749,619,0.392,530,0.378,560,0.375
752,756,0.418,175,0.392,382,0.392
755,182,0.392,752,0.385,139,0.369
756,752,0.418,736,0.366,170,0.359
760,255,0.408,354,0.403,314,0.398
761,119,0.359,665,0.356,474,0.353
762,168,0.401,209,0.392,529,0.387
763,299,0.412,247,0.399,298,0.399
769,090,0.418,091,0.416,591,0.403
770,584,0.392,567,0.382,038,0.381
771,168,0.403,209,0.391,529,0.385
772,215,0.355,231,0.350,183,0.348
773,131,0.400,778,0.395,091,0.394
774,517,0.413,581,0.402,124,0.398
775,593,0.397,568,0.384,517,0.383
776,376,0.424,531,0.424,506,0.420
777,590,0.400,230,0.396,690,0.393
778,200,0.404,773,0.395,692,0.390
780,781,0.364,616,0.312,555,0.310
781,780,0.364,556,0.353,613,0.352
790,059,0.379,581,0.366,175,0.366
